CAGR using strategy,CAGR without strategy,Company,Number of years
39.678748350872084,33.639454782987734,AVGO,10.98904109589041
27.64048678984601,26.269881862636502,TSM,11.580821917808219
15.123622078326271,16.24033270437415,LLY,11.580821917808219
32.865048773629034,30.520302786027685,MA,11.580821917808219
23.746840267185163,26.132494786607708,HD,11.580821917808219
33.992309576734804,33.398024167995686,ASML,11.580821917808219
19.753021997106313,19.67249113839071,NVO,11.580821917808219
10.530753411899308,9.883191367803757,KO,11.580821917808219
9.398105882802454,9.792891463058773,NVS,11.580821917808219
5.771305549032335,11.471817831497466,MS,11.580821917808219
